Razão Social,Nome de Pregão,Segmento,Código,Status FRE,File_Path,Segmento_B3,Status ILP
3R PETROLEUM ÓLEO E GÁS S.A,3R PETROLEUM,NM,RRRP,,,Novo Mercado,
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,AERIS,NM,AERI,,,Novo Mercado,
AES BRASIL ENERGIA S.A.,AES BRASIL,NM,AESB,,,Novo Mercado,
AGROGALAXY PARTICIPAÇÕES S.A.,AGROGALAXY,NM,AGXY,,,Novo Mercado,
ALIANSCE SONAE SHOPPING CENTERS S.A.,ALIANSCSONAE,NM,ALSO,,,Novo Mercado,
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,ALLIAR,NM,AALR,,,Novo Mercado,
ALLIED TECNOLOGIA S.A.,ALLIED,NM,ALLD,,,Novo Mercado,
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ESTAPAR,NM,ALPK,,,Novo Mercado,
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,ALPER S.A.,NM,APER,,,Novo Mercado,
ALPHAVILLE S.A.,ALPHAVILLE,NM,AVLL,,,Novo Mercado,
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBIPAR,NM,AMBP,,,Novo Mercado,
AMERICANAS S.A,AMERICANAS,NM,AMER,,,Novo Mercado,
ANIMA HOLDING S.A.,ANIMA,NM,ANIM,,,Novo Mercado,
AREZZO INDÚSTRIA E COMÉRCIO S.A.,AREZZO CO,NM,ARZZ,,,Novo Mercado,
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARMAC,NM,ARML,,,Novo Mercado,
ATACADÃO S.A.,CARREFOUR BR,NM,CRFB,,,Novo Mercado,
AUREN ENERGIA S.A.,AUREN,NM,AURE,,,Novo Mercado,
B3 S.A. - BRASIL. BOLSA. BALCÃO,B3,NM,B3SA,,,Novo Mercado,
BB SEGURIDADE PARTICIPAÇÕES S.A.,BBSEGURIDADE,NM,BBSE,,,Novo Mercado,
BCO BRASIL S.A.,BRASIL,NM,BBAS,,,Novo Mercado,
BEMOBI MOBILE TECH S.A.,BEMOBI TECH,NM,BMOB,,,Novo Mercado,
BLAU FARMACÊUTICA S.A.,BLAU,NM,BLAU,,,Novo Mercado,
BOA SAFRA SEMENTES S.A.,BOA SAFRA,NM,SOJA,,,Novo Mercado,
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,BRASILAGRO,NM,AGRO,,,Novo Mercado,
BRF S.A.,BRF SA,NM,BRFS,,,Novo Mercado,
BRISANET PARTICIPAÇÕES S.A.,BRISANET,NM,BRIT,,,Novo Mercado,
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,CAIXA SEGURI,NM,CXSE,,,Novo Mercado,
CAMIL ALIMENTOS S.A.,CAMIL,NM,CAML,,,Novo Mercado,
CCR S.A.,CCR SA,NM,CCRO,,,Novo Mercado,
CEA MODAS S.A.,CEA MODAS,NM,CEAB,,,Novo Mercado,
CIA BRASILEIRA DE DISTRIBUICAO,P.ACUCAR-CBD,NM,PCAR,,,Novo Mercado,
CIA SANEAMENTO BASICO EST SAO PAULO,SABESP,NM,SBSP,,,Novo Mercado,
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,COPASA,NM,CSMG,,,Novo Mercado,
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,CIELO,NM,CIEL,,,Novo Mercado,
CLEAR SALE S.A.,CLEARSALE,NM,CLSA,,,Novo Mercado,
CM HOSPITALAR S.A.,VIVEO,NM,VVEO,,,Novo Mercado,
COGNA EDUCAÇÃO S.A.,COGNA ON,NM,COGN,,,Novo Mercado,
COMPANHIA BRASILEIRA DE ALUMÍNIO,CBA,NM,CBAV,,,Novo Mercado,
CONSTRUTORA TENDA S.A.,TENDA,NM,TEND,,,Novo Mercado,
COSAN S.A.,COSAN,NM,CSAN,,,Novo Mercado,
CPFL ENERGIA S.A.,CPFL ENERGIA,NM,CPFE,,,Novo Mercado,
CRUZEIRO DO SUL EDUCACIONAL S.A.,CRUZEIRO EDU,NM,CSED,,,Novo Mercado,
CSU DIGITAL S.A.,CSU DIGITAL,NM,CSUD,,,Novo Mercado,
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY S/A,NM,CURY,,,Novo Mercado,
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,CVC BRASIL,NM,CVCB,,,Novo Mercado,
CYRELA BRAZIL REALTY S.A.EMPREEND E PART,CYRELA REALT,NM,CYRE,,,Novo Mercado,
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,D1000VFARMA,NM,DMVF,,,Novo Mercado,
DESKTOP S.A.,DESKTOP,NM,DESK,,,Novo Mercado,
DEXCO S.A.,DEXCO,NM,DXCO,,,Novo Mercado,
DIAGNOSTICOS DA AMERICA S.A.,DASA,NM,DASA,,,Novo Mercado,
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,DIMED,NM,PNVL,,,Novo Mercado,
DIRECIONAL ENGENHARIA S.A.,DIRECIONAL,NM,DIRR,,,Novo Mercado,
DOTZ S.A.,DOTZ SA,NM,DOTZ,,,Novo Mercado,
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,ECORODOVIAS,NM,ECOR,,,Novo Mercado,
ELETROMIDIA S.A.,ELETROMIDIA,NM,ELMD,,,Novo Mercado,
EMBRAER S.A.,EMBRAER,NM,EMBR,,,Novo Mercado,
EMPREENDIMENTOS PAGUE MENOS S.A.,PAGUE MENOS,NM,PGMN,,,Novo Mercado,
ENAUTA PARTICIPAÇÕES S.A.,ENAUTA PART,NM,ENAT,,,Novo Mercado,
ENEVA S.A,ENEVA,NM,ENEV,,,Novo Mercado,
ENGIE BRASIL ENERGIA S.A.,ENGIE BRASIL,NM,EGIE,,,Novo Mercado,
ENJOEI S.A.,ENJOEI,NM,ENJU,,,Novo Mercado,
EQUATORIAL ENERGIA S.A.,EQUATORIAL,NM,EQTL,,,Novo Mercado,
ETERNIT S.A.,ETERNIT,NM,ETER,,,Novo Mercado,
EVEN CONSTRUTORA E INCORPORADORA S.A.,EVEN,NM,EVEN,,,Novo Mercado,
EZ TEC EMPREEND. E PARTICIPACOES S.A.,EZTEC,NM,EZTC,,,Novo Mercado,
FERTILIZANTES HERINGER S.A.,FER HERINGER,NM,FHER,,,Novo Mercado,
FLEURY S.A.,FLEURY,NM,FLRY,,,Novo Mercado,
GAFISA S.A.,GAFISA,NM,GFSA,,,Novo Mercado,
GETNINJAS S.A.,GETNINJAS,NM,NINJ,,,Novo Mercado,
GPS PARTICIPACOES E EMPREENDIMENTOS S.A.,GPS,NM,GGPS,,,Novo Mercado,
GRENDENE S.A.,GRENDENE,NM,GRND,,,Novo Mercado,
GRUPO CASAS BAHIA S.A.,CASAS BAHIA,NM,BHIA,,,Novo Mercado,
GRUPO DE MODA SOMA S.A.,GRUPO SOMA,NM,SOMA,,,Novo Mercado,
GRUPO MATEUS S.A.,GRUPO MATEUS,NM,GMAT,,,Novo Mercado,
GRUPO SBF SA,GRUPO SBF,NM,SBFG,,,Novo Mercado,
GUARARAPES CONFECCOES S.A.,GUARARAPES,NM,GUAR,,,Novo Mercado,
HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,HAPVIDA,NM,HAPV,,,Novo Mercado,
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A,HBR REALTY,NM,HBRE,,,Novo Mercado,
HELBOR EMPREENDIMENTOS S.A.,HELBOR,NM,HBOR,,,Novo Mercado,
HIDROVIAS DO BRASIL S.A.,HIDROVIAS,NM,HBSA,,,Novo Mercado,
HOSPITAL MATER DEI S/A,MATER DEI,NM,MATD,,,Novo Mercado,
HYPERA S.A.,HYPERA,NM,HYPE,,,Novo Mercado,
INFRACOMMERCE CXAAS S.A.,INFRACOMM,NM,IFCM,,,Novo Mercado,
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,INTELBRAS,NM,INTB,,,Novo Mercado,
